id;code;title;start;end;specialization_id;archived
79;HOSP_EDUC_14;Заместитель заведующего централизованной аптекой - провизор;2018-11-02;;;0
104;HOSP_19;Заведующий складом;2018-11-02;;;0
130;AMB_MED_24;Заведующий  филиалом - врач-психиатр;2016-10-17;;4;0
80;AMB_MED_14;Заведующий филиалом - врач-детский эндокринолог;2016-10-17;;51;0
105;AMB_19;Ведущий бухгалтер;2019-04-19;;;0
81;AMB_14;Начальник договорного отдела;2019-04-19;;;0
107;AMB_MED_19;Заведующий филиалом - врач-невролог;2016-10-17;;31;0
82;AMB_14;Начальник договорного отдела;2015-11-01;2019-04-19;;0
83;HOSP_MED_15;Заместитель главного врача по медицинской части;2018-11-02;;62;0
108;HOSP_MED_20;Заместитель главного врача по нефрологии;2018-11-02;;62;0
131;AMB_24;Гардеробщик;2019-04-19;;;0
109;HOSP_20;Заведующий социально-психологической службой - медицинский психолог;2018-11-02;;;0
84;HOSP_15;Заведующий продовольственным складом;2018-11-02;;;0
132;AMB_23;Водитель;2015-11-01;2019-04-19;;0
110;AMB_20;Ведущий инженер;2019-04-19;;;0
85;HOSP_EDUC_15;Заведующий централизованной аптекой - провизор-технолог;2018-12-29;;;0
133;HOSP_MED_25;Заместитель главного врача по первичной медико-санитарной помощи;2018-11-02;;62;0
111;AMB_19;Ведущий бухгалтер;2015-11-01;2019-04-19;;0
86;AMB_15;Администратор;2015-11-01;;;0
134;HOSP_25;Заместитель главного бухгалтера;2018-11-02;;;0
112;AMB_MED_20;Заведующий филиалом - врач-онколог;2016-10-17;;60;0
87;AMB_MED_15;Заведующий филиалом - врач-инфекционист;2016-10-17;;57;0
135;AMB_25;Делопроизводитель;2019-04-19;;;0
113;HOSP_MED_21;Заместитель главного врача по онкологии;2018-11-02;;62;0
88;HOSP_MED_16;Заместитель главного врача по медицинской части (по региональному сосудистому центру);2018-11-02;;62;0
136;AMB_24;Гардеробщик;2015-11-01;2019-04-19;;0
114;HOSP_21;Заведующий учебно-клиническим отделом;2018-11-02;;;0
137;AMB_MED_25;Заведующий филиалом - врач-рентгенолог;2016-10-17;;30;0
89;HOSP_16;Заведующий производством;2018-11-02;;;0
115;AMB_21;Ведущий экономист;2019-04-19;;;0
138;HOSP_MED_26;Заместитель главного врача по профилактике и борьбе со СПИДом;2018-11-02;;62;0
90;HOSP_EDUC_16;Заместитель заведующего аптекой - провизор-технолог;2018-12-29;;;0
116;AMB_20;Ведущий инженер;2015-11-01;2019-04-19;;0
91;AMB_16;Бухгалтер;2015-11-01;;;0
139;HOSP_26;Заместитель главного врача по гражданской обороне и мобилизационной работе;2018-11-02;;;0
117;AMB_MED_21;Заведующий филиалом - врач-оториноларинголог;2016-10-17;;68;0
92;AMB_MED_16;Заведующий филиалом - врач-кардиолог;2016-10-17;;59;0
118;HOSP_MED_22;Заместитель главного врача по организации стационарной помощи;2018-11-02;;62;0
140;AMB_26;Диспетчер;2019-04-19;;;0
93;HOSP_MED_17;Заместитель главного врача по медицинской части для работы по гражданской обороне и мобилизационной работе;2018-11-02;;62;0
119;HOSP_22;Заведующий учебным центром;2018-11-02;;;0
141;AMB_25;Делопроизводитель;2015-11-01;2019-04-19;;0
94;HOSP_17;Заведующий регистратурой;2018-11-02;;;0
120;AMB_22;Ведущий юрисконсульт;2019-04-19;;;0
95;HOSP_EDUC_17;Фасовщица;2018-12-29;;;0
142;AMB_MED_26;Заведующий филиалом - врач-травматолог-ортопед;2016-10-17;;67;0
121;AMB_21;Ведущий экономист;2015-11-01;2019-04-19;;0
96;AMB_17;Бухгалтер 1 категории;2015-11-01;;;0
122;AMB_MED_22;Заведующий филиалом - врач-офтальмолог;2016-10-17;;70;0
143;HOSP_MED_27;Заместитель главного врача по психиатрии;2018-11-02;;62;0
97;AMB_MED_17;Заведующий филиалом - врач-колопроктолог;2016-10-17;;9;0
123;HOSP_MED_23;Заместитель главного врача по организации хирургической и онкологической помощи;2018-11-02;;62;0
144;HOSP_27;Заместитель главного врача по кадрам;2018-11-02;;;0
98;HOSP_MED_18;Заместитель главного врача по медицинской части филиала;2018-11-02;;62;0
124;HOSP_23;Заведующий хозяйством;2018-11-02;;;0
145;AMB_27;Документовед;2019-04-19;;;0
99;HOSP_18;Заведующий редакционно-издательским отделом;2018-11-02;;;0
125;AMB_23;Водитель;2019-04-19;;;0
146;AMB_26;Диспетчер;2015-11-01;2019-04-19;;0
100;HOSP_EDUC_18;Заместитель заведующего аптекой - провизор-аналитик;2019-04-16;;;0
126;AMB_22;Ведущий юрисконсульт;2015-11-01;2019-04-19;;0
147;AMB_MED_27;Заведующий филиалом - врач-уролог;2016-10-17;;79;0
